Type,Hours,Minutes,Seconds,Total Activations,Total People
Person,0,0,28,0,1
Person,0,1,9,0,2
Type,Hours,Minutes,Seconds,Total Activations,Total People
Person,0,0,7,0,1
Type,Hours,Minutes,Seconds,Total Activations,Total People
Person,0,0,2,0,1
Type,Hours,Minutes,Seconds,Total Activations,Total People
Type,Hours,Minutes,Seconds,Total Activations,Total People
Type,Hours,Minutes,Seconds,Total Activations,Total People
Type,Hours,Minutes,Seconds,Total Activations,Total People
Type,Hours,Minutes,Seconds,Total Activations,Total People
Person,0,0,15,0,1
Person,0,0,21,0,2
Person,0,1,26,0,3
Person,0,1,32,0,4
Person,0,1,38,0,5
Person,0,1,43,0,6
Person,0,1,58,0,7
Person,0,2,4,0,8
Person,0,2,14,0,9
Person,0,2,26,0,10
Person,0,2,50,0,11
Person,0,3,5,0,12
Person,0,3,12,0,13
Person,0,3,20,0,14
Person,0,3,27,0,15
Person,0,3,39,0,16
Person,0,3,49,0,17
Person,0,3,54,0,18
Person,0,3,59,0,19
Person,0,4,21,0,20
Person,0,4,31,0,21
Person,0,4,37,0,22
Person,0,4,42,0,23
Person,0,4,53,0,24
Person,0,4,58,0,25
Person,0,5,5,0,26
Type,Hours,Minutes,Seconds,Total Activations,Total People
Person,0,0,15,0,1
Person,0,0,20,0,2
Type,Hours,Minutes,Seconds,Total Activations,Total People
Person,0,0,3,0,1
Activation,0,0,4,1,1
Person,0,0,9,1,2
Activation,0,0,10,2,2
Person,0,0,14,2,3
Activation,0,0,18,3,3
Activation,0,0,21,4,3
Person,0,0,23,4,4
Activation,0,0,23,5,4
Person,0,0,29,5,5
Type,Hours,Minutes,Seconds,Total Activations,Total People
Activation,0,0,3,1,0
Activation,0,0,6,2,0
Activation,0,0,27,3,0
Type,Hours,Minutes,Seconds,Total Activations,Total People
Type,Hours,Minutes,Seconds,Total Activations,Total People
Person,0,0,4,0,0
Person,0,0,11,0,0
Activation,0,0,14,1,0
Person,0,0,16,1,0
Activation,0,0,18,2,0
